iter	Passed	Remaining
0	56	56735
1	57	28465
2	57	19032
3	57	14313
4	57	11483
5	57	9593
6	58	8246
7	58	7242
8	58	6452
9	58	5821
10	59	5305
11	59	4872
12	59	4507
13	59	4194
14	59	3924
15	59	3686
16	60	3477
17	60	3290
18	60	3123
19	60	2974
20	60	2839
21	61	2716
22	61	2603
23	61	2499
24	61	2405
25	61	2317
26	62	2236
27	62	2164
28	62	2096
29	62	2031
30	63	1969
31	63	1911
32	63	1858
33	63	1807
34	63	1759
35	64	1714
36	64	1671
37	64	1631
38	64	1593
39	64	1557
40	65	1523
41	65	1489
42	65	1457
43	65	1427
44	65	1398
45	66	1371
46	66	1344
47	66	1319
48	66	1296
49	67	1275
50	67	1254
51	67	1233
52	67	1213
53	68	1193
54	68	1173
55	68	1154
56	68	1137
57	68	1119
58	69	1102
59	69	1085
60	69	1069
61	69	1054
62	69	1039
63	70	1025
64	70	1011
65	70	997
66	70	984
67	70	971
68	71	958
69	71	946
70	71	934
71	71	923
72	71	912
73	72	901
74	72	891
75	72	881
76	72	871
77	72	861
78	73	852
79	73	842
80	73	833
81	73	824
82	73	814
83	73	806
84	74	797
85	74	789
86	74	782
87	74	774
88	74	766
89	75	760
90	75	753
91	75	746
92	75	739
93	75	732
94	76	725
95	76	719
96	76	712
97	76	706
98	76	700
99	77	694
100	77	688
101	77	682
102	77	677
103	78	672
104	78	667
105	78	662
106	78	657
107	78	651
108	79	648
109	79	644
110	79	639
111	80	635
112	80	631
113	80	626
114	80	622
115	81	617
116	81	612
117	81	608
118	81	604
119	81	600
120	82	596
121	82	591
122	82	587
123	82	583
124	82	579
125	83	576
126	83	571
127	83	569
128	83	566
129	84	565
130	84	562
131	85	559
132	85	555
133	85	552
134	85	549
135	85	545
136	86	542
137	86	538
138	86	535
139	86	532
140	86	529
141	86	525
142	87	522
143	87	519
144	87	516
145	87	513
146	88	510
147	88	507
148	88	504
149	88	502
150	88	499
151	88	496
152	89	493
153	89	490
154	89	488
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	469
162	91	467
163	91	465
164	91	463
165	91	461
166	92	459
167	92	457
168	92	455
169	92	453
170	92	450
171	93	448
172	93	446
173	93	444
174	93	442
175	94	440
176	94	439
177	94	437
178	94	435
179	95	434
180	95	432
181	95	430
182	96	428
183	96	426
184	96	424
185	96	422
186	96	421
187	97	419
188	97	417
189	97	416
190	97	414
191	98	413
192	98	411
193	98	409
194	98	407
195	98	406
196	99	404
197	99	402
198	99	400
199	99	398
200	99	397
201	100	395
202	100	393
203	100	392
204	100	390
205	100	389
206	101	387
207	101	385
208	101	384
209	101	382
210	101	381
211	102	379
212	102	378
213	102	376
214	102	375
215	102	373
216	103	372
217	103	370
218	103	369
219	103	368
220	104	366
221	104	365
222	104	363
223	104	362
224	104	361
225	105	359
226	105	358
227	105	357
228	105	355
229	105	354
230	106	353
231	106	351
232	106	350
233	106	349
234	106	347
235	107	346
236	107	345
237	107	343
238	107	342
239	107	341
240	107	339
241	108	338
242	108	337
243	108	336
244	108	335
245	109	334
246	109	333
247	109	332
248	109	331
249	110	330
250	110	329
251	110	328
252	110	327
253	111	326
254	111	324
255	111	323
256	111	322
257	111	321
258	112	320
259	112	319
260	112	318
261	112	318
262	113	317
263	113	316
264	113	315
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	114	309
271	115	308
272	115	307
273	115	306
274	115	305
275	115	304
